序号,商品标题,商品描述,平台,价格(元),商品类型
1,王者荣耀：世界火热招商中！！,王者荣耀：世界火热招商中！！,,999999,招商/返利账号
2,元流返利·觉醒开局 返利账号上架专场,元流返利·觉醒开局 返利账号上架专场,,9999999,招商/返利账号
3,单字id胆，常见单字，基本都认识，诚心出售,单字id胆，常见单字，基本都认识，诚心出售,,1000,单字ID
4,极品二字id：玉佩,极品二字id：玉佩,,720,双字ID
5,ID：杨颖baby   喜欢的直接拍,ID：杨颖baby   喜欢的直接拍,,800,明星名人ID
6,LGBT系极品词组：小受,LGBT系极品词组：小受,,888,特殊含义ID
7,ID衿,ID衿,,999,单字ID
8,极品帅哥id:偏爱纵容，喜欢可谈，有搭配情侣id女号:性格娇纵,极品帅哥id:偏爱纵容，喜欢可谈，有搭配情侣id女号:性格娇纵,,900,情侣/闺蜜ID
9,极品双子ID：绘织,极品双子ID：绘织,,1200,特殊含义ID
10,双字词组🆔推辞,双字词组🆔推辞,,1100,双字ID
11,双字🆔：好宅,双字🆔：好宅,,799,双字ID
12,极品单字🆔瞻,极品单字🆔瞻,,1000,单字ID
13,出双字id星影,出双字id星影,,999,双字ID
14,王者荣耀世界id：铁杉（非强组，一个树的名字）,王者荣耀世界id：铁杉（非强组，一个树的名字）,,999,普通ID
15,双字id【瞳孔】,双字id【瞳孔】,,888,双字ID
16,极品双字ID：绣织,极品双字ID：绣织,,1000,双字ID
17,正版id婚戒,正版id婚戒,,888,特殊含义ID
18,极品美女id:性格娇纵，喜欢可谈，有搭配情侣id男号:偏爱纵容，一起购买可更优惠,极品美女id:性格娇纵，喜欢可谈，有搭配情侣id男号:偏爱纵容，一起购买可更优惠,,900,情侣/闺蜜ID
19,Id：愿中国永无难，喜欢的可以聊,Id：愿中国永无难，喜欢的可以聊,,1000,普通ID
20,出极品单子id实,出极品单子id实,,888,特殊含义ID
21,极品双字id色骨,极品双字id色骨,,888,双字ID
22,极品昵称，吾乃吴彦祖,极品昵称，吾乃吴彦祖,,888,明星名人ID
23,极品id,极品id,,888,特殊含义ID
24,游戏账号,游戏账号,,888,普通ID
25,极品昵称，刘亦菲lyf,极品昵称，刘亦菲lyf,,1288,明星名人ID
26,极品id,极品id,,888,特殊含义ID
27,双字Id严父,双字Id严父,,1169,双字ID
28,极品昵称，想你的声音,极品昵称，想你的声音,,888,特殊含义ID
29,极品id,极品id,,888,特殊含义ID
30,极品昵称，吾乃彭于晏,极品昵称，吾乃彭于晏,,888,明星名人ID
31,999999999九个九绝版孤品名字,999999999九个九绝版孤品名字,,199999,特殊含义ID
32,王者荣耀世界id,王者荣耀世界id,,101,普通ID
33,王者荣耀世界极品单字id：愮,王者荣耀世界极品单字id：愮,,188888,单字ID
34,id666666,id666666,,20000,单字ID
35,"单字id缙,诚心出售","单字id缙,诚心出售",,500,单字ID
36,极品id：万瑶之王,极品id：万瑶之王,,188888,特殊含义ID
37,iD：茜姐,iD：茜姐,,351,普通ID
38,王者荣耀世界极品二字ID,王者荣耀世界极品二字ID,,298,双字ID
39,单字id：胡,单字id：胡,,4111,单字ID
40,女用id ：甜雨眠,女用id ：甜雨眠,,121,普通ID
41,安卓QQ ¥ 357 4小时前发布 2人想要,安卓QQ ¥ 357 4小时前发布 2人想要,安卓QQ,357,普通ID
42,王者荣耀世界ID:i女,王者荣耀世界ID:i女,,350,普通ID
43,王者荣耀世界单字ID匍,王者荣耀世界单字ID匍,,180,单字ID
44,单字：噛，连同QQ号岀售,单字：噛，连同QQ号岀售,,199,单字ID
45,id号。残忍,id号。残忍,,3000,普通ID
46,王者荣耀世界单字ID颅，取敌方首级之意,王者荣耀世界单字ID颅，取敌方首级之意,,666,单字ID
47,王者荣耀世界双字极品ID:碎今,王者荣耀世界双字极品ID:碎今,,125,双字ID
48,双字id乾陇,双字id乾陇,,288,双字ID
49,白敬亭,白敬亭,,10066,明星名人ID
50,王者荣耀世界双字极品ID:裁判,王者荣耀世界双字极品ID:裁判,,238,双字ID
51,双字id慕榕,双字id慕榕,,288,双字ID
52,王者荣耀世界ID市民,王者荣耀世界ID市民,,13000,普通ID
53,单字id：狂,单字id：狂,,10000,单字ID
54,双字id栢枫,双字id栢枫,,288,双字ID
55,御姐甜妹专用极简ld：Fie,御姐甜妹专用极简ld：Fie,,10000,普通ID
56,双字小词组🆔青筋,双字小词组🆔青筋,,530,双字ID
57,王者极品id,王者极品id,,9999,特殊含义ID
58,一眼大美女极品ld:池夢鲤,一眼大美女极品ld:池夢鲤,,10000,特殊含义ID
59,ID：张艺兴，无空白字符,ID：张艺兴，无空白字符,,131452,明星名人ID
60,顶级ID宇宙，要的来,顶级ID宇宙，要的来,,2400,特殊含义ID
61,王者荣耀世界id真龙,王者荣耀世界id真龙,,22000,特殊含义ID
62,ID和号,ID和号,,200,普通ID
63,极品单字🆔榜,极品单字🆔榜,,5555,单字ID
64,极品双字🆔：感叹,极品双字🆔：感叹,,1499,双字ID
65,单子ID粧,单子ID粧,,245,普通ID
66,单字id菊,单字id菊,,4117,单字ID
67,虞书欣,虞书欣,,13456,明星名人ID
68,极品单字id涬,极品单字id涬,,489,单字ID
69,极品ID妞子 ，可讲价,极品ID妞子 ，可讲价,,350,特殊含义ID
70,极品id，便宜,极品id，便宜,,69,特殊含义ID
71,三字🆔自习室,三字🆔自习室,,300,三字及以上ID
72,女生用的漂亮id,女生用的漂亮id,,1500,普通ID
73,极品ID,极品ID,,666,特殊含义ID
74,极品二字id吟诗，无特殊符号,极品二字id吟诗，无特殊符号,,520,双字ID
75,双ID败感,双ID败感,,130,普通ID
76,两个一起出，可做闺蜜ID情侣ID，名字好听适合女生,两个一起出，可做闺蜜ID情侣ID，名字好听适合女生,,520,情侣/闺蜜ID
77,王者荣耀世界id听细雨绵绵,王者荣耀世界id听细雨绵绵,,199,三字及以上ID
78,极品单子ID佖,极品单子ID佖,,188,特殊含义ID
79,极品双字ID：绘猫,极品双字ID：绘猫,,1800,双字ID
80,王者荣耀世界双字id溺晚,王者荣耀世界双字id溺晚,,399,双字ID
81,王者荣耀世界极品单字id：矓,王者荣耀世界极品单字id：矓,,188888,单字ID
82,王者荣耀世界ID：剫，要的来,王者荣耀世界ID：剫，要的来,,120,普通ID
83,王者荣耀世界id夜色漫漫,王者荣耀世界id夜色漫漫,,266,三字及以上ID
84,安卓QQ ¥ 69 125人看过 11人想要,安卓QQ ¥ 69 125人看过 11人想要,安卓QQ,69,普通ID
85,单字id连q一起出,单字id连q一起出,,266,单字ID
86,极品双字ID梁子,极品双字ID梁子,,520,双字ID
87,ID   景甜  喜欢的价格可议,ID   景甜  喜欢的价格可议,,40000,明星名人ID
88,单字id 连q一起出,单字id 连q一起出,,366,单字ID
89,王者荣耀世界id:大肥婆西施,王者荣耀世界id:大肥婆西施,,2778,三字及以上ID
90,正版id花架,正版id花架,,288,特殊含义ID
91,单字id：埦,单字id：埦,,311,单字ID
92,单字ID：嬀,单字ID：嬀,,243,单字ID
93,王者荣耀世界正版id无代码,王者荣耀世界正版id无代码,,2000,特殊含义ID
94,便宜出出单字id唷,便宜出出单字id唷,,400,单字ID
95,王者荣耀世界id,王者荣耀世界id,,599,普通ID
96,双字ID：吻枫,双字ID：吻枫,,288,双字ID
97,出极品双字id睡去,出极品双字id睡去,,688,双字ID
98,王者世界ID：OOO,王者世界ID：OOO,,100,普通ID
99,小极品带号出 lemo,小极品带号出 lemo,,300,特殊含义ID
100,王者荣耀世界ID：美女儿,王者荣耀世界ID：美女儿,,130,三字及以上ID
